Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,FarePerPerson,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Senior,Pclass_Fare,Fare_Log,Age_Log
0,3,-0.5657364610748746,1,0,-0.5641087873940193,0.059159876663617626,0,-0.5476058507246607,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.6387709593973253,-0.884450804505842,-0.2362387797427563
1,1,0.6638610320657843,1,0,0.9425480546638041,0.059159876663617626,0,0.5808979535718629,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.4593224555748799,1.3758930646351324,0.6245919686902986
1,3,-0.2583370877897099,0,0,-0.548226529750121,-0.5609748304808925,1,-0.39604201258184907,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.5938791559980219,-0.8025478579119842,0.025144285328213375
1,1,0.4333115021019107,1,0,0.5147082688618853,0.059159876663617626,0,0.26044089100184115,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.05622066359929791,1.0741233950445652,0.49411010214712364
0,3,0.4333115021019107,0,0,-0.5452853709271769,-0.5609748304808925,1,-0.39163608705444175,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.5855658590722249,-0.7880629125377953,0.49411010214712364
0,3,-0.10463740114712752,0,0,-0.5356783697479123,-0.5609748304808925,1,-0.3772445719117185,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.558411305993802,-0.7421058710901699,0.1416333356444674
0,1,1.893458525206443,0,0,0.4855907965147383,-0.5609748304808925,1,1.1526408103018226,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.02878678374416795,1.0500242415540113,1.1849922023943722
0,3,-2.1027333275006983,3,1,-0.23881662157639924,1.9195639980971482,0,-0.5268098822352982,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2806796805958148,0.14057895220285926,-3.5566681295478544
1,3,-0.1814872444684187,0,2,-0.47273757093690794,0.6792945838081278,0,-0.5445710492213827,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,-0.3805067517817476,-0.48272101844167087,0.08442911253006272
1,2,-1.180535207645204,1,0,-0.027152009260873307,0.059159876663617626,0,-0.14541886962123324,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0.2123244279531422,0.49657049699399375,-0.9330379575617678
1,3,-1.949033640858116,1,1,-0.3417571803794436,0.6792945838081278,0,-0.47916714086560047,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-0.010285711807077675,-0.08945784973475612,-2.723944164999802
1,1,2.200857898491608,0,0,-0.10999386513144661,-0.5609748304808925,1,0.26044089100184115,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,-0.5323607587471246,0.37131944389592797,1.299435890985306
0,3,-0.719436147717457,0,0,-0.5452853709271769,-0.5609748304808925,1,-0.39163608705444175,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.5855658590722249,-0.7880629125377953,-0.38453670428884756
0,3,0.7407108753870755,1,5,0.0011819383758412065,3.1598334123861687,0,-0.5178973243112858,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.959044709740844,0.5361711062385779,0.665863871385615
0,3,-1.180535207645204,0,0,-0.5498924021074366,-0.5609748304808925,1,-0.39853752880057264,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,-0.5985878073767933,-0.8108423936907564,-0.9330379575617678
1,2,1.9703083685277343,0,0,-0.35822766978793064,-0.5609748304808925,1,-0.11141922351133643,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,-0.4115408434255426,-0.13148173808865266,1.2143651246585359
0,3,-2.1027333275006983,4,1,-0.04940599337879768,2.5396987052416584,0,-0.5042809163718222,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.8160560026171371,0.46437604604039645,-3.5566681295478544
1,2,-0.10463740114712752,0,0,-0.4288154815385896,-0.5609748304808925,1,-0.21716143616911202,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.5445535942382934,-0.33368567152466716,0.1416333356444674
0,3,0.12591212881674602,1,0,-0.3111691286208247,0.059159876663617626,0,-0.35815105304614614,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.0761725762212105,-0.015645713214721132,0.3021057236564724
1,3,-0.10463740114712752,0,0,-0.5646970191586081,-0.5609748304808925,1,-0.42071519553533004,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,-0.6404336187824847,-0.8876115073381831,0.1416333356444674
0,2,0.4333115021019107,0,0,-0.12293496395240078,-0.5609748304808925,1,0.24105481868124892,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.03183499261696022,0.3503178914890206,0.49411010214712364
1,2,0.35646165878061953,0,0,-0.4288154815385896,-0.5609748304808925,1,-0.21716143616911202,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,-0.5445535942382934,-0.33368567152466716,0.4481872602592053
1,3,-1.1036853643239128,0,0,-0.5457747797553149,-0.5609748304808925,1,-0.39236923306220234,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,-0.5869491916806776,-0.7904592780697297,-0.827830288472
1,1,-0.10463740114712752,0,0,0.10059310659135261,-0.5609748304808925,1,0.575905158764205,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.3339500721181046,0.6642896775014523,0.1416333356444674
0,3,-1.6416342675729512,3,1,-0.23881662157639924,1.9195639980971482,0,-0.5268098822352982,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.2806796805958148,0.14057895220285926,-1.7657619221098206
1,3,0.6638610320657843,1,5,0.003828981316490934,3.1598334123861687,0,-0.5173308481720477,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.9665266769740614,0.5397949479212185,0.6245919686902986
0,3,-0.10463740114712752,0,0,-0.5646970191586081,-0.5609748304808925,1,-0.42071519553533004,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.6404336187824847,-0.8876115073381831,0.1416333356444674
0,1,-0.7962859910387481,3,2,5.124238728242953,2.5396987052416584,0,0.787426123888799,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,4.39922486752063,2.668221715908568,-0.46407214074285746
1,3,-0.10463740114712752,0,0,-0.5493041703428477,-0.5609748304808925,1,-0.3976563436950911,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.5969251479916339,-0.8079059814014272,0.1416333356444674
0,3,-0.10463740114712752,0,0,-0.5489135844511608,-0.5609748304808925,1,-0.3970712367850514,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.595821142159888,-0.8059607675574288,0.1416333356444674
0,1,0.8175607187083667,0,0,-0.08244579513222278,-0.5609748304808925,1,0.301708551861749,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,-0.5064055373051964,0.4146636500426548,0.7061166098831713
1,1,-0.10463740114712752,1,0,2.7128315501938722,0.059159876663617626,0,1.9068612410450951,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,2.1272469287872706,2.118839123947159,0.1416333356444674
1,3,-0.10463740114712752,0,0,-0.5523441521022427,-0.5609748304808925,1,-0.4022103083202193,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.6055177716941376,-0.8231713196326232,0.1416333356444674
0,2,2.8156566450619374,0,0,-0.4876386579974721,-0.5609748304808925,1,-0.30527994671725833,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.6553975532489191,-0.5385497616659674,1.5067182920955986
0,1,-0.10463740114712752,1,0,1.1987229881422372,0.059159876663617626,0,0.7727760102904516,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.7006851763205174,1.5220119466544697,0.1416333356444674
0,1,0.9712604053509489,1,0,0.4888260712199769,0.059159876663617626,0,0.24105481868124892,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.03183499261696022,1.0527296294545725,0.7837576206954824
1,3,-0.10463740114712752,0,0,-0.5645981962221572,-0.5609748304808925,1,-0.4205671564376092,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.6401542920057779,-0.8870798384162878,0.1416333356444674
0,3,-0.6425863043961658,0,0,-0.5452853709271769,-0.5609748304808925,1,-0.39163608705444175,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.5855658590722249,-0.7880629125377953,-0.30870195746324275
0,3,-0.8731358343600393,2,0,-0.3111691286208247,0.6792945838081278,0,-0.46389326570392175,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0761725762212105,-0.015645713214721132,-0.547688062634627
1,3,-1.180535207645204,1,0,-0.4701869980056509,0.059159876663617626,0,-0.4772573190136536,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,-0.3732974606876966,-0.4734579202486428,-0.9330379575617678
0,3,0.8175607187083667,1,0,-0.511756160345614,0.059159876663617626,0,-0.5083931135307357,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,-0.49079427411814003,-0.6357749927655412,0.7061166098831713
0,2,-0.1814872444684187,1,0,-0.2405813168701657,0.059159876663617626,0,-0.30527994671725833,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,-0.1898529254042912,0.13703458990304354,0.08442911253006272
0,3,-0.10463740114712752,0,0,-0.5489135844511608,-0.5609748304808925,1,-0.3970712367850514,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.595821142159888,-0.8059607675574288,0.1416333356444674
1,2,-2.025883484179407,1,2,0.24363224832288793,1.299429290952638,0,-0.30898797364112435,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.7225790751042962,0.8247289309558432,-3.0877023127289447
1,3,-0.7962859910387481,0,0,-0.5493041703428477,-0.5609748304808925,1,-0.3976563436950911,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.5969251479916339,-0.8079059814014272,-0.46407214074285746
0,3,-0.10463740114712752,0,0,-0.5452853709271769,-0.5609748304808925,1,-0.39163608705444175,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.5855658590722249,-0.7880629125377953,0.1416333356444674
0,3,-0.10463740114712752,1,0,-0.36999230507970715,0.059159876663617626,0,-0.4022103083202193,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.09009336229472806,-0.1625721299622539,0.1416333356444674
1,3,-0.10463740114712752,0,0,-0.5523441521022427,-0.5609748304808925,1,-0.4022103083202193,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.6055177716941376,-0.8231713196326232,0.1416333356444674
0,3,-0.10463740114712752,2,0,-0.22460023628981649,0.6792945838081278,0,-0.420665849169423,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.3208628326163469,0.16870068364835214,0.1416333356444674
0,3,-0.8731358343600393,1,0,-0.3158749827375353,0.059159876663617626,0,-0.361675793468072,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.06287130113993554,-0.026666459272191936,-0.547688062634627
0,3,-1.7184841108942424,4,1,0.19912192715998075,2.5396987052416584,0,-0.4422307985275025,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1.5185295928469775,0.7774002509500836,-1.9577663006004724
0,3,-0.6425863043961658,0,0,-0.5511676885730651,-0.5609748304808925,1,-0.4004479381092564,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,-0.6021924529238188,-0.817237111076176,-0.30870195746324275
1,1,1.5092093085999871,1,0,1.0706861093347755,0.059159876663617626,0,0.676874872890693,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0.5800514788500734,1.4515418320027884,1.0296220191147576
